country,year,quarter,total_sales,num_invoices
United Kingdom,2010,4,498661.8500000227,1291
Germany,2010,4,15241.139999999996,30
France,2010,4,9616.30999999999,21
EIRE,2010,4,8813.880000000001,15
Netherlands,2010,4,8784.48,3
Japan,2010,4,7705.0700000000015,3
Sweden,2010,4,3834.3,2
Norway,2010,4,3787.1199999999994,2
Portugal,2010,4,2439.9699999999984,6
Cyprus,2010,4,1868.02,2
Spain,2010,4,1843.7299999999998,4
Belgium,2010,4,1809.9099999999999,5
Lithuania,2010,4,1661.06,4
Switzerland,2010,4,1304.9199999999996,2
Denmark,2010,4,1281.5000000000002,1
Australia,2010,4,1032.85,3
Finland,2010,4,892.8000000000001,1
Italy,2010,4,811.5000000000001,2
Iceland,2010,4,711.79,1
Channel Islands,2010,4,363.53,1
Poland,2010,4,248.16,1
United Kingdom,2011,1,1265044.2799998708,2947
Netherlands,2011,1,72039.55999999994,18
EIRE,2011,1,53705.06999999997,38
Australia,2011,1,41577.21999999996,18
Germany,2011,1,40884.58000000007,82
France,2011,1,40845.63000000006,75
Spain,2011,1,19262.640000000047,22
Switzerland,2011,1,8756.379999999997,11
Sweden,2011,1,8716.4,6
Portugal,2011,1,7930.459999999992,11
Finland,2011,1,7031.000000000002,8
Belgium,2011,1,6093.149999999998,19
Channel Islands,2011,1,5969.619999999998,5
Japan,2011,1,5829.71,5
Italy,2011,1,4465.319999999999,8
Denmark,2011,1,4378.21,2
Cyprus,2011,1,4121.229999999996,6
Greece,2011,1,3048.55,2
Austria,2011,1,2226.4800000000005,4
Singapore,2011,1,2053.07,1
Norway,2011,1,1896.2100000000003,6
Lebanon,2011,1,1693.8800000000003,1
Poland,2011,1,1535.0499999999997,4
United Arab Emirates,2011,1,889.24,1
Israel,2011,1,779.1,1
Czech Republic,2011,1,549.26,1
Iceland,2011,1,475.39,1
Saudi Arabia,2011,1,145.92,1
Canada,2011,1,140.54,1
United Kingdom,2011,2,1486043.440999911,3710
Netherlands,2011,2,59020.53000000005,25
Germany,2011,2,51340.840000000135,89
EIRE,2011,2,43388.68000000008,53
Australia,2011,2,40015.13999999999,11
France,2011,2,39223.460000000036,83
Switzerland,2011,2,13173.739999999998,10
Japan,2011,2,9506.99,4
Belgium,2011,2,9432.999999999998,27
Singapore,2011,2,8209.580000000002,3
Spain,2011,2,7940.16,14
Portugal,2011,2,6774.440000000004,10
Norway,2011,2,5886.860000000001,4
Sweden,2011,2,4323.080000000001,8
Denmark,2011,2,4214.830000000001,5
Channel Islands,2011,2,3560.270000000003,4
Poland,2011,2,2571.859999999999,6
Finland,2011,2,2018.48,5
Canada,2011,2,1705.7000000000003,2
Italy,2011,2,1527.3500000000001,5
Austria,2011,2,1492.2300000000002,3
Unspecified,2011,2,1337.5600000000004,3
Brazil,2011,2,1143.6000000000001,1
Cyprus,2011,2,1109.3199999999997,1
Iceland,2011,2,1018.7699999999999,2
Malta,2011,2,863.1600000000001,2
European Community,2011,2,623.4499999999998,3
Greece,2011,2,609.74,1
Bahrain,2011,2,548.4,2
USA,2011,2,383.95,1
United Kingdom,2011,3,1780845.8429998772,3901
EIRE,2011,3,98868.01999999977,75
Netherlands,2011,3,67291.08999999995,15
Germany,2011,3,53752.96999999995,113
France,2011,3,47239.19000000005,95
Australia,2011,3,32560.309999999994,17
Switzerland,2011,3,17213.750000000007,16
Spain,2011,3,16161.070000000005,27
Sweden,2011,3,12778.160000000003,11
Norway,2011,3,11594.819999999994,9
Belgium,2011,3,10237.609999999993,21
Israel,2011,3,6304.560000000003,2
Channel Islands,2011,3,6220.5300000000025,7
Finland,2011,3,5478.680000000002,10
Denmark,2011,3,5159.549999999997,5
Portugal,2011,3,4942.470000000002,7
Japan,2011,3,3966.48,3
Singapore,2011,3,3949.32,1
Austria,2011,3,2708.030000000002,4
Italy,2011,3,2417.8500000000004,6
Canada,2011,3,1820.14,3
Poland,2011,3,1618.35,6
Unspecified,2011,3,1329.510000000001,5
Malta,2011,3,1119.0000000000005,2
United Arab Emirates,2011,3,1013.0400000000001,2
European Community,2011,3,676.8,1
Iceland,2011,3,584.91,1
Greece,2011,3,421.23999999999995,1
United Kingdom,2011,4,2277796.139999677,4797
Netherlands,2011,4,78310.67999999993,33
France,2011,4,72099.45999999996,115
Germany,2011,4,67647.60999999994,143
EIRE,2011,4,60770.250000000044,79
Australia,2011,4,24725.930000000004,11
Spain,2011,4,17632.110000000033,24
Switzerland,2011,4,15970.499999999987,13
Belgium,2011,4,13977.590000000013,26
Norway,2011,4,13000.429999999998,15
Portugal,2011,4,11352.55,23
Japan,2011,4,10408.119999999999,4
Sweden,2011,4,8726.39,9
Italy,2011,4,8261.219999999994,17
Finland,2011,4,7125.1200000000035,17
Singapore,2011,4,7067.32,2
Cyprus,2011,4,4677.409999999997,4
Channel Islands,2011,4,4336.490000000001,9
Denmark,2011,4,3467.8300000000004,5
USA,2011,4,3196.4400000000005,4
Austria,2011,4,3056.7600000000007,4
Iceland,2011,4,1519.1400000000006,2
Poland,2011,4,1361.2299999999998,2
RSA,2011,4,1002.3099999999998,1
Malta,2011,4,743.43,1
Greece,2011,4,680.9900000000002,1
Czech Republic,2011,4,277.47999999999996,1
Israel,2011,4,138.03000000000006,2
